,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME_BLK,CANCELLED,DIVERTED,DISTANCE,ORIGIN_CITY,ORIGIN_STATE_OR_REGION,ORIGIN_FULL_NAME,GMT_DEP,DEST_CITY,DEST_STATE_OR_REGION,DEST_FULL_NAME,GMT_ARR
423,1,2,AA,AA,N965NN,178,PBI,ORD,0600-0659,1.0,0.0,1143.0,West Palm Beach,FL,Florida,5,Chicago,IL,Illinois,6
424,1,2,AA,AA,N965NN,178,PBI,ORD,0600-0659,1.0,0.0,1143.0,West Palm Beach,FL,Florida,5,Chicago,IL,Illinois,6
430,1,2,AA,AA,N9015D,189,EGE,DFW,0700-0759,1.0,0.0,721.0,Vail,CO,Colorado,7,Dallas,TX,Texas,6
1087,1,2,OH,OH,N572NN,5103,CLT,PNS,1900-1959,1.0,0.0,488.0,Charlotte,NC,North Carolina,5,Pensacola,FL,Florida,6
2108,1,2,EV,EV,N17984,4187,JAN,IAH,0900-0959,1.0,0.0,351.0,Jackson,MS,Mississippi,6,Houston,TX,Texas,6
2110,1,2,EV,EV,N17984,4189,IAH,JAN,0700-0759,1.0,0.0,351.0,Houston,TX,Texas,6,Jackson,MS,Mississippi,6
2111,1,2,EV,EV,N16561,4190,IAH,ECP,1900-1959,1.0,0.0,572.0,Houston,TX,Texas,6,Panama City,FL,Florida,6
2115,1,2,EV,EV,N14977,4197,SHV,IAH,0700-0759,1.0,0.0,192.0,Shreveport,LA,Louisiana,6,Houston,TX,Texas,6
2117,1,2,EV,EV,N11535,4199,RDU,EWR,1600-1659,1.0,0.0,416.0,Raleigh,NC,North Carolina,5,Newark,NJ,New Jersey,5
2147,1,2,EV,EV,N11535,4228,EWR,RDU,1400-1459,1.0,0.0,416.0,Newark,NJ,New Jersey,5,Raleigh,NC,North Carolina,5
2159,1,2,EV,EV,N13992,4242,IAH,STL,1800-1859,1.0,0.0,667.0,Houston,TX,Texas,6,St. Louis,MO,Missouri,6
3327,1,2,OO,OO,N765SK,2960,LAX,SAN,0700-0759,1.0,0.0,109.0,Los Angeles,CA,California,8,San Diego,CA,California,8
3328,1,2,OO,OO,N765SK,2960,SAN,LAX,0900-0959,1.0,0.0,109.0,San Diego,CA,California,8,Los Angeles,CA,California,8
3387,1,2,OO,OO,N755EV,2999,BRO,DFW,1100-1159,1.0,0.0,482.0,Brownsville,TX,Texas,6,Dallas,TX,Texas,6
3388,1,2,OO,OO,N755EV,2999,DFW,BRO,0900-0959,1.0,0.0,482.0,Dallas,TX,Texas,6,Brownsville,TX,Texas,6
3452,1,2,OO,OO,N750EV,3048,OKC,ORD,1600-1659,1.0,0.0,693.0,Oklahoma City,OK,Oklahoma,6,Chicago,IL,Illinois,6
3453,1,2,OO,OO,N750EV,3048,OKC,ORD,1600-1659,1.0,0.0,693.0,Oklahoma City,OK,Oklahoma,6,Chicago,IL,Illinois,6
3454,1,2,OO,OO,N750EV,3048,ORD,OKC,1300-1359,1.0,0.0,693.0,Chicago,IL,Illinois,6,Oklahoma City,OK,Oklahoma,6
3455,1,2,OO,OO,N750EV,3048,ORD,OKC,1300-1359,1.0,0.0,693.0,Chicago,IL,Illinois,6,Oklahoma City,OK,Oklahoma,6
3528,1,2,OO,OO,N758EV,3098,MKE,CLT,0700-0759,1.0,0.0,651.0,Milwaukee,WI,Wisconsin,6,Charlotte,NC,North Carolina,5
3540,1,2,OO,OO,N930EV,3110,CHO,ORD,0900-0959,1.0,0.0,566.0,Charlottesville,VA,Virginia,5,Chicago,IL,Illinois,6
3541,1,2,OO,OO,N930EV,3110,CHO,ORD,0900-0959,1.0,0.0,566.0,Charlottesville,VA,Virginia,5,Chicago,IL,Illinois,6
3601,1,2,OO,OO,N706SK,3164,LAX,ELP,0900-0959,1.0,0.0,715.0,Los Angeles,CA,California,8,El Paso,TX,Texas,7
3602,1,2,OO,OO,N706SK,3165,ELP,LAX,1300-1359,1.0,0.0,715.0,El Paso,TX,Texas,7,Los Angeles,CA,California,8
3617,1,2,OO,OO,N755SK,3182,CRP,DFW,0800-0859,1.0,0.0,354.0,Corpus Christi,TX,Texas,6,Dallas,TX,Texas,6
3643,1,2,OO,OO,N748EV,3205,MFR,LAX,0600-0659,1.0,0.0,630.0,Medford,OR,Oregon,8,Los Angeles,CA,California,8
3664,1,2,OO,OO,N748SK,3251,FLG,PHX,0700-0759,1.0,0.0,119.0,Flagstaff,AZ,Arizona,7,Phoenix,AZ,Arizona,7
3722,1,2,OO,OO,N177SY,3351,ABQ,SFO,1500-1559,1.0,0.0,896.0,Albuquerque,NM,New Mexico,7,San Francisco,CA,California,8
3723,1,2,OO,OO,N177SY,3353,SFO,ABQ,1100-1159,1.0,0.0,896.0,San Francisco,CA,California,8,Albuquerque,NM,New Mexico,7
3747,1,2,OO,OO,N177SY,3390,SNA,SFO,0800-0859,1.0,0.0,372.0,Orange County,CA,California,8,San Francisco,CA,California,8
3943,1,2,OO,OO,N279SY,3620,LGA,CLE,0900-0959,1.0,0.0,419.0,New York,NY,New York,5,Cleveland,OH,Ohio,5
4013,1,2,OO,OO,N461SW,3688,GFK,MSP,0600-0659,1.0,0.0,284.0,Grand Forks,ND,North Dakota,6,Minneapolis,MN,Minnesota,6
4072,1,2,OO,OO,N279SY,3769,CLE,LGA,1300-1359,1.0,0.0,419.0,Cleveland,OH,Ohio,5,New York,NY,New York,5
4204,1,2,OO,OO,N767SK,4477,EGE,SLC,1300-1359,1.0,0.0,279.0,Vail,CO,Colorado,7,Salt Lake City,UT,Utah,7
4205,1,2,OO,OO,N767SK,4477,SLC,EGE,1100-1159,1.0,0.0,279.0,Salt Lake City,UT,Utah,7,Vail,CO,Colorado,7
4566,1,2,OO,OO,N784SK,5196,PSP,SFO,0600-0659,1.0,0.0,421.0,Palm Springs,CA,California,8,San Francisco,CA,California,8
4568,1,2,OO,OO,N979SW,5198,LAX,SAN,0900-0959,1.0,0.0,109.0,Los Angeles,CA,California,8,San Diego,CA,California,8
4629,1,2,OO,OO,N193SY,5252,MFR,SFO,0600-0659,1.0,0.0,329.0,Medford,OR,Oregon,8,San Francisco,CA,California,8
4743,1,2,OO,OO,N957SW,5352,ORD,SBN,0900-0959,1.0,0.0,84.0,Chicago,IL,Illinois,6,South Bend,IN,Indiana,5
4744,1,2,OO,OO,N957SW,5352,ORD,SBN,0900-0959,1.0,0.0,84.0,Chicago,IL,Illinois,6,South Bend,IN,Indiana,5
4834,1,2,OO,OO,N979SW,5443,SAN,LAX,1000-1059,1.0,0.0,109.0,San Diego,CA,California,8,Los Angeles,CA,California,8
4871,1,2,OO,OO,N793SK,5488,ASE,IAH,0700-0759,1.0,0.0,913.0,Aspen,CO,Colorado,7,Houston,TX,Texas,6
4925,1,2,OO,OO,N979SW,5545,MFR,LAX,0600-0659,1.0,0.0,630.0,Medford,OR,Oregon,8,Los Angeles,CA,California,8
5106,1,2,OO,OO,N947SW,5763,FAT,LAX,0900-0959,1.0,0.0,209.0,Fresno,CA,California,8,Los Angeles,CA,California,8
5109,1,2,OO,OO,N937SW,5767,MTJ,DEN,0900-0959,1.0,0.0,196.0,Montrose,CO,Colorado,7,Denver,CO,Colorado,7
5122,1,2,OO,OO,N947SW,5784,LAX,FAT,0700-0759,1.0,0.0,209.0,Los Angeles,CA,California,8,Fresno,CA,California,8
5150,1,2,OO,OO,N779SK,5829,ASE,ORD,0800-0859,1.0,0.0,1013.0,Aspen,CO,Colorado,7,Chicago,IL,Illinois,6
5151,1,2,OO,OO,N779SK,5829,ASE,ORD,0800-0859,1.0,0.0,1013.0,Aspen,CO,Colorado,7,Chicago,IL,Illinois,6
5172,1,2,OO,OO,N937SW,5857,DEN,MTJ,0700-0759,1.0,0.0,196.0,Denver,CO,Colorado,7,Montrose,CO,Colorado,7
5173,1,2,OO,OO,N957SW,5858,SBN,ORD,1100-1159,1.0,0.0,84.0,South Bend,IN,Indiana,5,Chicago,IL,Illinois,6
5174,1,2,OO,OO,N957SW,5858,SBN,ORD,1100-1159,1.0,0.0,84.0,South Bend,IN,Indiana,5,Chicago,IL,Illinois,6
5226,1,2,OO,OO,N880AS,5926,RAP,DEN,0700-0759,1.0,0.0,300.0,Rapid City,SD,South Dakota,7,Denver,CO,Colorado,7
5412,1,2,AA,AA,N979NN,2512,DTW,MIA,1000-1059,1.0,0.0,1145.0,Detroit,MI,Michigan,5,Miami,FL,Florida,5
5413,1,2,AA,AA,N832NN,2512,MIA,DTW,0700-0759,1.0,0.0,1145.0,Miami,FL,Florida,5,Detroit,MI,Michigan,5
5416,1,2,AA,AA,N882NN,2514,AUS,JFK,1200-1259,1.0,0.0,1521.0,Austin,TX,Texas,6,New York,NY,New York,5
5417,1,2,AA,AA,N860NN,2514,JFK,AUS,0800-0859,1.0,0.0,1521.0,New York,NY,New York,5,Austin,TX,Texas,6
5473,1,2,AA,AA,N932AN,2564,DFW,ABQ,2200-2259,1.0,0.0,569.0,Dallas,TX,Texas,6,Albuquerque,NM,New Mexico,7
5632,1,2,AA,AA,N994NN,1381,MIA,PHX,0600-0659,1.0,0.0,1972.0,Miami,FL,Florida,5,Phoenix,AZ,Arizona,7
5673,1,2,AA,AA,N861NN,1421,ABQ,DFW,0700-0759,1.0,0.0,569.0,Albuquerque,NM,New Mexico,7,Dallas,TX,Texas,6
5680,1,2,AA,AA,N930AN,1431,ABQ,ORD,0600-0659,1.0,0.0,1118.0,Albuquerque,NM,New Mexico,7,Chicago,IL,Illinois,6
5681,1,2,AA,AA,N930AN,1431,ABQ,ORD,0600-0659,1.0,0.0,1118.0,Albuquerque,NM,New Mexico,7,Chicago,IL,Illinois,6
5948,1,2,MQ,MQ,N939AE,3900,GRB,ORD,1400-1459,1.0,0.0,174.0,Green Bay,WI,Wisconsin,6,Chicago,IL,Illinois,6
5949,1,2,MQ,MQ,N939AE,3900,GRB,ORD,1400-1459,1.0,0.0,174.0,Green Bay,WI,Wisconsin,6,Chicago,IL,Illinois,6
6229,1,2,AA,AA,N894NN,2622,LAX,DFW,1700-1759,1.0,0.0,1235.0,Los Angeles,CA,California,8,Dallas,TX,Texas,6
6274,1,2,AA,AA,N989NN,1115,DFW,LAX,0600-0659,1.0,0.0,1235.0,Dallas,TX,Texas,6,Los Angeles,CA,California,8
6323,1,2,AA,AA,N940NN,1165,PHX,MIA,1000-1059,1.0,0.0,1972.0,Phoenix,AZ,Arizona,7,Miami,FL,Florida,5
6455,1,2,AA,AA,N962NN,1270,ORD,ABQ,2000-2059,1.0,0.0,1118.0,Chicago,IL,Illinois,6,Albuquerque,NM,New Mexico,7
6456,1,2,AA,AA,N962NN,1270,ORD,ABQ,2000-2059,1.0,0.0,1118.0,Chicago,IL,Illinois,6,Albuquerque,NM,New Mexico,7
6518,1,2,MQ,MQ,N670AE,4121,TVC,ORD,1000-1059,1.0,0.0,224.0,Traverse City,MI,Michigan,5,Chicago,IL,Illinois,6
6519,1,2,MQ,MQ,N670AE,4121,TVC,ORD,1000-1059,1.0,0.0,224.0,Traverse City,MI,Michigan,5,Chicago,IL,Illinois,6
6606,1,2,WN,WN,N7845A,244,ABQ,DAL,0001-0559,1.0,0.0,580.0,Albuquerque,NM,New Mexico,7,Dallas,TX,Texas,6
6615,1,2,WN,WN,N732SW,1230,ABQ,LAS,0600-0659,1.0,0.0,486.0,Albuquerque,NM,New Mexico,7,Las Vegas,NV,Nevada,8
6623,1,2,WN,WN,N8690A,1625,ABQ,MDW,1600-1659,1.0,0.0,1121.0,Albuquerque,NM,New Mexico,7,Chicago,IL,Illinois,6
6626,1,2,WN,WN,N297WN,2221,ABQ,OAK,0600-0659,1.0,0.0,889.0,Albuquerque,NM,New Mexico,7,Oakland,CA,California,8
6630,1,2,WN,WN,N258WN,711,ABQ,PHX,0001-0559,1.0,0.0,328.0,Albuquerque,NM,New Mexico,7,Phoenix,AZ,Arizona,7
6868,1,2,WN,WN,N8681M,1780,BHM,MDW,1700-1759,1.0,0.0,570.0,Birmingham,AL,Alabama,6,Chicago,IL,Illinois,6
6940,1,2,WN,WN,N917WN,2225,BNA,MDW,1800-1859,1.0,0.0,395.0,Nashville,TN,Tennessee,6,Chicago,IL,Illinois,6
7209,1,2,WN,WN,N941WN,2057,BWI,MDW,1900-1959,1.0,0.0,611.0,Baltimore,MD,Maryland,5,Chicago,IL,Illinois,6
7583,1,2,WN,WN,N958WN,1270,DCA,MDW,1900-1959,1.0,0.0,601.0,Washington DC ,DC,District of Columbia,5,Chicago,IL,Illinois,6
7702,1,2,WN,WN,N486WN,1159,DEN,MDW,1700-1759,1.0,0.0,895.0,Denver,CO,Colorado,7,Chicago,IL,Illinois,6
8146,1,2,WN,WN,N7874B,369,IND,MCI,0001-0559,1.0,0.0,451.0,Indianapolis,IN,Indiana,5,Kansas City,MO,Missouri,6
8552,1,2,WN,WN,N7707C,1463,LGA,MDW,1800-1859,1.0,0.0,725.0,New York,NY,New York,5,Chicago,IL,Illinois,6
8635,1,2,WN,WN,N407WN,748,MCI,MDW,1700-1759,1.0,0.0,405.0,Kansas City,MO,Missouri,6,Chicago,IL,Illinois,6
8639,1,2,WN,WN,N953WN,2026,MCI,MDW,1900-1959,1.0,0.0,405.0,Kansas City,MO,Missouri,6,Chicago,IL,Illinois,6
8799,1,2,WN,WN,N958WN,1270,MDW,BNA,2100-2159,1.0,0.0,395.0,Chicago,IL,Illinois,6,Nashville,TN,Tennessee,6
8814,1,2,WN,WN,N253WN,1410,MDW,BWI,2100-2159,1.0,0.0,611.0,Chicago,IL,Illinois,6,Baltimore,MD,Maryland,5
8819,1,2,WN,WN,N920WN,715,MDW,CLE,2200-2259,1.0,0.0,307.0,Chicago,IL,Illinois,6,Cleveland,OH,Ohio,5
8824,1,2,WN,WN,N8305E,641,MDW,CLT,2100-2159,1.0,0.0,584.0,Chicago,IL,Illinois,6,Charlotte,NC,North Carolina,5
8841,1,2,WN,WN,N8309C,1524,MDW,DAL,1800-1859,1.0,0.0,793.0,Chicago,IL,Illinois,6,Dallas,TX,Texas,6
8847,1,2,WN,WN,N953WN,2026,MDW,DCA,2100-2159,1.0,0.0,601.0,Chicago,IL,Illinois,6,Washington DC ,DC,District of Columbia,5
8854,1,2,WN,WN,N486WN,1161,MDW,DEN,2100-2159,1.0,0.0,895.0,Chicago,IL,Illinois,6,Denver,CO,Colorado,7
8903,1,2,WN,WN,N273WN,1845,MDW,LGA,2000-2059,1.0,0.0,725.0,Chicago,IL,Illinois,6,New York,NY,New York,5
8909,1,2,WN,WN,N265WN,1721,MDW,MCI,1700-1759,1.0,0.0,405.0,Chicago,IL,Illinois,6,Kansas City,MO,Missouri,6
8910,1,2,WN,WN,N274WN,5337,MDW,MCI,2000-2059,1.0,0.0,405.0,Chicago,IL,Illinois,6,Kansas City,MO,Missouri,6
8922,1,2,WN,WN,N425LV,44,MDW,MSP,2200-2259,1.0,0.0,349.0,Chicago,IL,Illinois,6,Minneapolis,MN,Minnesota,6
8975,1,2,WN,WN,N948WN,2177,MDW,SDF,2200-2259,1.0,0.0,271.0,Chicago,IL,Illinois,6,Louisville,KY,Kentucky,5
8984,1,2,WN,WN,N220WN,1142,MDW,SLC,1900-1959,1.0,0.0,1259.0,Chicago,IL,Illinois,6,Salt Lake City,UT,Utah,7
8991,1,2,WN,WN,N941WN,2057,MDW,STL,2100-2159,1.0,0.0,251.0,Chicago,IL,Illinois,6,St. Louis,MO,Missouri,6
9074,1,2,WN,WN,N233LV,5337,MSP,MDW,1800-1859,1.0,0.0,349.0,Minneapolis,MN,Minnesota,6,Chicago,IL,Illinois,6
9125,1,2,WN,WN,N728SW,1454,MSY,MDW,1800-1859,1.0,0.0,825.0,New Orleans,LA,Louisiana,6,Chicago,IL,Illinois,6
9292,1,2,WN,WN,N948WN,1289,OMA,MDW,1900-1959,1.0,0.0,423.0,Omaha,NE,Nebraska,6,Chicago,IL,Illinois,6
9618,1,2,AS,AS,N622AS,50,SCC,BRW,1700-1759,1.0,0.0,204.0,Prudhoe Bay,AK,Alaska,9,Barrow,AK,Alaska,9
9636,1,2,AS,AS,N514AS,62,KTN,SEA,1300-1359,1.0,0.0,680.0,Ketchikan,AK,Alaska,9,Seattle,WA,Washington,8
9637,1,2,AS,AS,N514AS,62,SIT,KTN,1200-1259,1.0,0.0,183.0,Sitka,AK,Alaska,9,Ketchikan,AK,Alaska,9
9645,1,2,AS,AS,N613AS,65,KTN,WRG,0900-0959,1.0,0.0,82.0,Ketchikan,AK,Alaska,9,Wrangell,AK,Alaska,9
9655,1,2,AS,AS,N532AS,69,KTN,JNU,2100-2159,1.0,0.0,234.0,Ketchikan,AK,Alaska,9,Juneau,AK,Alaska,9
9659,1,2,AS,AS,N607AS,73,JNU,ANC,0700-0759,1.0,0.0,571.0,Juneau,AK,Alaska,9,Anchorage,AK,Alaska,9
10058,1,2,AS,AS,N402AS,894,HNL,SEA,1200-1259,1.0,0.0,2677.0,Honolulu,"Oahu, HI",Hawaii,10,Seattle,WA,Washington,8
10384,1,2,EV,EV,N11192,4268,BTR,IAH,0900-0959,1.0,0.0,253.0,Baton Rouge,LA,Louisiana,6,Houston,TX,Texas,6
10459,1,2,EV,EV,N17185,4344,MLU,IAH,1600-1659,1.0,0.0,262.0,Monroe,LA,Louisiana,6,Houston,TX,Texas,6
10777,1,2,NK,NK,N619NK,606,RSW,DTW,0700-0759,1.0,0.0,1084.0,Fort Myers,FL,Florida,5,Detroit,MI,Michigan,5
11324,1,2,MQ,MQ,N532EA,3621,ABQ,ORD,1200-1259,1.0,0.0,1118.0,Albuquerque,NM,New Mexico,7,Chicago,IL,Illinois,6
11325,1,2,MQ,MQ,N532EA,3621,ABQ,ORD,1200-1259,1.0,0.0,1118.0,Albuquerque,NM,New Mexico,7,Chicago,IL,Illinois,6
11366,1,2,MQ,MQ,N697AB,3645,CLE,MIA,1700-1759,1.0,0.0,1080.0,Cleveland,OH,Ohio,5,Miami,FL,Florida,5
11377,1,2,MQ,MQ,N527EA,3651,ALB,ORD,0700-0759,1.0,0.0,723.0,Albany,NY,New York,5,Chicago,IL,Illinois,6
11378,1,2,MQ,MQ,N527EA,3651,ALB,ORD,0700-0759,1.0,0.0,723.0,Albany,NY,New York,5,Chicago,IL,Illinois,6
12033,1,2,YV,YV,NONE,5975,FSD,DFW,0700-0759,1.0,0.0,737.0,Sioux Falls,SD,South Dakota,6,Dallas,TX,Texas,6
12107,1,2,YV,YV,N86336,6106,SLC,IAH,1600-1659,1.0,0.0,1195.0,Salt Lake City,UT,Utah,7,Houston,TX,Texas,6
15334,1,2,AA,AA,N992AN,2335,ABQ,DFW,0600-0659,1.0,0.0,569.0,Albuquerque,NM,New Mexico,7,Dallas,TX,Texas,6
15503,1,2,AA,AA,N968AN,1614,IAH,MIA,1100-1159,1.0,0.0,964.0,Houston,TX,Texas,6,Miami,FL,Florida,5
15504,1,2,AA,AA,N968AN,1614,MIA,IAH,0800-0859,1.0,0.0,964.0,Miami,FL,Florida,5,Houston,TX,Texas,6
15595,1,2,AA,AA,N949NN,1495,MIA,ORD,0600-0659,1.0,0.0,1197.0,Miami,FL,Florida,5,Chicago,IL,Illinois,6
15596,1,2,AA,AA,N949NN,1495,MIA,ORD,0600-0659,1.0,0.0,1197.0,Miami,FL,Florida,5,Chicago,IL,Illinois,6
15644,1,2,AA,AA,N925NN,1554,LGA,MIA,1100-1159,1.0,0.0,1096.0,New York,NY,New York,5,Miami,FL,Florida,5
15645,1,2,AA,AA,N925NN,1554,MIA,LGA,0700-0759,1.0,0.0,1096.0,Miami,FL,Florida,5,New York,NY,New York,5
15710,1,2,AA,AA,N965NN,952,PHX,PDX,1800-1859,1.0,0.0,1009.0,Phoenix,AZ,Arizona,7,Portland,OR,Oregon,8
15838,1,2,MQ,MQ,N262NN,3479,MSN,ORD,0900-0959,1.0,0.0,109.0,Madison,WI,Wisconsin,6,Chicago,IL,Illinois,6
15839,1,2,MQ,MQ,N262NN,3479,MSN,ORD,0900-0959,1.0,0.0,109.0,Madison,WI,Wisconsin,6,Chicago,IL,Illinois,6
15865,1,2,MQ,MQ,N848AE,3500,GCK,DFW,0600-0659,1.0,0.0,404.0,Garden City,KS,Kansas,6,Dallas,TX,Texas,6
15958,1,2,MQ,MQ,N254NN,3566,ATL,ORD,2000-2059,1.0,0.0,606.0,Atlanta,GA,Georgia,5,Chicago,IL,Illinois,6
15959,1,2,MQ,MQ,N254NN,3566,ATL,ORD,2000-2059,1.0,0.0,606.0,Atlanta,GA,Georgia,5,Chicago,IL,Illinois,6
16172,1,2,WN,WN,N469WN,814,RNO,LAS,0700-0759,1.0,0.0,345.0,Reno,NV,Nevada,8,Las Vegas,NV,Nevada,8
16592,1,2,WN,WN,N253WN,2847,SLC,MDW,1600-1659,1.0,0.0,1259.0,Salt Lake City,UT,Utah,7,Chicago,IL,Illinois,6
16810,1,2,WN,WN,N274WN,1223,STL,MDW,1800-1859,1.0,0.0,251.0,St. Louis,MO,Missouri,6,Chicago,IL,Illinois,6
19385,1,2,YV,YV,NONE,5758,ABQ,PHX,0800-0859,1.0,0.0,328.0,Albuquerque,NM,New Mexico,7,Phoenix,AZ,Arizona,7
19422,1,2,EV,EV,N16976,4412,PIT,EWR,1600-1659,1.0,0.0,319.0,Pittsburgh,PA,Pennsylvania,5,Newark,NJ,New Jersey,5
19432,1,2,EV,EV,N19554,4432,IAH,BTR,1000-1059,1.0,0.0,253.0,Houston,TX,Texas,6,Baton Rouge,LA,Louisiana,6
19447,1,2,EV,EV,N24103,4447,IAH,VPS,1800-1859,1.0,0.0,528.0,Houston,TX,Texas,6,Fort Walton Beach,FL,Florida,6
19452,1,2,EV,EV,N18557,4450,TUL,IAH,0800-0859,1.0,0.0,429.0,Tulsa,OK,Oklahoma,6,Houston,TX,Texas,6
19460,1,2,EV,EV,N720EV,2861,BTR,DFW,1200-1259,1.0,0.0,383.0,Baton Rouge,LA,Louisiana,6,Dallas,TX,Texas,6
19467,1,2,EV,EV,N720EV,2874,DFW,MKE,2000-2059,1.0,0.0,853.0,Dallas,TX,Texas,6,Milwaukee,WI,Wisconsin,6
19470,1,2,EV,EV,N720EV,2888,DFW,SAF,1400-1459,1.0,0.0,551.0,Dallas,TX,Texas,6,Santa Fe,NM,New Mexico,7
19471,1,2,EV,EV,N720EV,2888,SAF,DFW,1600-1659,1.0,0.0,551.0,Santa Fe,NM,New Mexico,7,Dallas,TX,Texas,6
19473,1,2,EV,EV,N738EV,2890,CLT,ECP,1800-1859,1.0,0.0,437.0,Charlotte,NC,North Carolina,5,Panama City,FL,Florida,6
19474,1,2,EV,EV,N738EV,2895,DFW,ECP,1200-1259,1.0,0.0,685.0,Dallas,TX,Texas,6,Panama City,FL,Florida,6
19482,1,2,EV,EV,N738EV,2916,ECP,CLT,1500-1559,1.0,0.0,437.0,Panama City,FL,Florida,6,Charlotte,NC,North Carolina,5
19483,1,2,EV,EV,N720EV,2917,DFW,BTR,1000-1059,1.0,0.0,383.0,Dallas,TX,Texas,6,Baton Rouge,LA,Louisiana,6
19486,1,2,EV,EV,N608QX,2921,MKE,DFW,0600-0659,1.0,0.0,853.0,Milwaukee,WI,Wisconsin,6,Dallas,TX,Texas,6
19488,1,2,EV,EV,N617QX,2928,DFW,BTR,2000-2059,1.0,0.0,383.0,Dallas,TX,Texas,6,Baton Rouge,LA,Louisiana,6
19494,1,2,EV,EV,N19554,3967,BTR,IAH,1200-1259,1.0,0.0,253.0,Baton Rouge,LA,Louisiana,6,Houston,TX,Texas,6
19498,1,2,EV,EV,N881AS,3970,IAD,TYS,1700-1759,1.0,0.0,420.0,Washington DC ,DC,District of Columbia,5,Knoxville,TN,Tennessee,5
19538,1,2,EV,EV,N13975,4006,IAH,MCI,1900-1959,1.0,0.0,643.0,Houston,TX,Texas,6,Kansas City,MO,Missouri,6
19539,1,2,EV,EV,N11551,4007,ORD,GSP,0900-0959,1.0,0.0,577.0,Chicago,IL,Illinois,6,Greenville,SC,South Carolina,5
19540,1,2,EV,EV,N11551,4007,ORD,GSP,0900-0959,1.0,0.0,577.0,Chicago,IL,Illinois,6,Greenville,SC,South Carolina,5
19546,1,2,EV,EV,N12172,4013,ORD,TYS,1900-1959,1.0,0.0,475.0,Chicago,IL,Illinois,6,Knoxville,TN,Tennessee,5
19547,1,2,EV,EV,N12172,4013,ORD,TYS,1900-1959,1.0,0.0,475.0,Chicago,IL,Illinois,6,Knoxville,TN,Tennessee,5
19587,1,2,EV,EV,N16976,4046,EWR,PIT,1400-1459,1.0,0.0,319.0,Newark,NJ,New Jersey,5,Pittsburgh,PA,Pennsylvania,5
19598,1,2,EV,EV,N11551,4059,GSP,ORD,1200-1259,1.0,0.0,577.0,Greenville,SC,South Carolina,5,Chicago,IL,Illinois,6
19599,1,2,EV,EV,N11551,4059,GSP,ORD,1200-1259,1.0,0.0,577.0,Greenville,SC,South Carolina,5,Chicago,IL,Illinois,6
19604,1,2,EV,EV,N14907,4063,IAH,LIT,1900-1959,1.0,0.0,374.0,Houston,TX,Texas,6,Little Rock,AR,Arkansas,6
20291,2,3,AA,AA,N977UY,769,DFW,PHL,0800-0859,1.0,0.0,1303.0,Dallas,TX,Texas,6,Philadelphia,PA,Pennsylvania,5
20325,2,3,AA,AA,N567UW,795,DFW,IAH,1000-1059,1.0,0.0,224.0,Dallas,TX,Texas,6,Houston,TX,Texas,6
20326,2,3,AA,AA,N567UW,795,IAH,DFW,1200-1259,1.0,0.0,224.0,Houston,TX,Texas,6,Dallas,TX,Texas,6
20495,2,3,AA,AA,N802NN,2335,ABQ,DFW,0600-0659,1.0,0.0,569.0,Albuquerque,NM,New Mexico,7,Dallas,TX,Texas,6
20886,2,3,AA,AA,N842NN,1597,LGA,DFW,0001-0559,1.0,0.0,1389.0,New York,NY,New York,5,Dallas,TX,Texas,6
20935,2,3,AA,AA,N352PS,1015,DCA,ORD,1800-1859,1.0,0.0,612.0,Washington DC ,DC,District of Columbia,5,Chicago,IL,Illinois,6
20936,2,3,AA,AA,N352PS,1015,DCA,ORD,1800-1859,1.0,0.0,612.0,Washington DC ,DC,District of Columbia,5,Chicago,IL,Illinois,6
21011,2,3,MQ,MQ,N677AE,3463,ABI,DFW,1000-1059,1.0,0.0,158.0,Abilene,TX,Texas,6,Dallas,TX,Texas,6
21012,2,3,MQ,MQ,N677AE,3463,DFW,ABI,0900-0959,1.0,0.0,158.0,Dallas,TX,Texas,6,Abilene,TX,Texas,6
21119,2,3,MQ,MQ,N535EA,3534,CMH,ORD,1000-1059,1.0,0.0,296.0,Columbus,OH,Ohio,5,Chicago,IL,Illinois,6
21120,2,3,MQ,MQ,N535EA,3534,CMH,ORD,1000-1059,1.0,0.0,296.0,Columbus,OH,Ohio,5,Chicago,IL,Illinois,6
21121,2,3,MQ,MQ,N535EA,3534,ORD,CMH,0700-0759,1.0,0.0,296.0,Chicago,IL,Illinois,6,Columbus,OH,Ohio,5
21122,2,3,MQ,MQ,N535EA,3534,ORD,CMH,0700-0759,1.0,0.0,296.0,Chicago,IL,Illinois,6,Columbus,OH,Ohio,5
21136,2,3,MQ,MQ,N933JN,3541,ORD,CWA,2200-2259,1.0,0.0,213.0,Chicago,IL,Illinois,6,Wausau,WI,Wisconsin,6
21137,2,3,MQ,MQ,N933JN,3541,ORD,CWA,2200-2259,1.0,0.0,213.0,Chicago,IL,Illinois,6,Wausau,WI,Wisconsin,6
21231,2,3,MQ,MQ,N670AE,3597,MSN,ORD,1000-1059,1.0,0.0,109.0,Madison,WI,Wisconsin,6,Chicago,IL,Illinois,6
